app.instance-card.never-played	Never played	components\ui\Instance.vue
app.instance-card.played	Played {time}	components\ui\Instance.vue
app.instance-settings.icon	Icon	components\ui\instance_settings\GeneralSettings.vue
app.java-detection.header	Select java version	components\ui\JavaDetectionModal.vue
app.java-detection.selected	Selected	components\ui\JavaDetectionModal.vue
app.java-detection.select	Select	components\ui\JavaDetectionModal.vue
app.java-detection.not-found	No java installations found!	components\ui\JavaDetectionModal.vue
app.java-detection.cancel	Cancel	components\ui\JavaDetectionModal.vue
app.java-detection.column.version	Version	components\ui\JavaDetectionModal.vue
app.java-detection.column.path	Path	components\ui\JavaDetectionModal.vue
app.java-detection.column.actions	Actions	components\ui\JavaDetectionModal.vue
app.minecraft-auth.header	Sign in Failed	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.warning	We couldn't sign you into your Microsoft account. This may be due to account restrictions or regional limitations.	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.what-happened	What we think happened	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.how-to-fix	How to fix it	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.unknown-error	Unknown error	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.unknown-error.desc	We don't recognize this error and can't recommend specific steps to resolve it.	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.unknown-error.try	Try visiting	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.minecraft-login	Minecraft Login	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.unknown-error.support	and signing in, as it may prompt you with the necessary steps. You can also contact support and we can look into it further.	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.contact-support	Contact support	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.sign-in-again	Sign in again	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.debug-info	Debug information	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.copy-debug-info	Copy debug info	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.minecraft-auth.no-error-message	No error message.	components\ui\minecraft-auth-error-modal\MinecraftAuthErrorModal.vue
app.settings.developer-mode-enabled	Developer mode enabled.	components\ui\modal\AppSettingsModal.vue
app.settings.title	Settings	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.appearance	Appearance	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.home	Home page	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.language	Language	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.privacy	Privacy	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.java-installations	Java installations	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.default-instance-options	Default instance options	components\ui\modal\AppSettingsModal.vue
app.settings.tabs.resource-management	Resource management	components\ui\modal\AppSettingsModal.vue
app.settings.downloading	Downloading v{version}	components\ui\modal\AppSettingsModal.vue
app.instance.confirm-delete.header	Delete instance	components\ui\modal\ConfirmDeleteInstanceModal.vue
app.instance.confirm-delete.admonition-header	This action cannot be undone	components\ui\modal\ConfirmDeleteInstanceModal.vue
app.instance.confirm-delete.admonition-body	All data for your instance will be permanently deleted, including your worlds, configs, and all installed content.	components\ui\modal\ConfirmDeleteInstanceModal.vue
app.instance.confirm-delete.delete-button	Delete instance	components\ui\modal\ConfirmDeleteInstanceModal.vue
app.modal.install-to-play.header	Install to play	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.shared-server-instance	Shared server instance	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.content-required	Content required	components\ui\modal\InstallToPlayModal.vue
app.modal.install-to-play.server-requires-mods	This server requires mods to play. Click Install to set up the required files from Modrinth, then launch directly into the server.	components\ui\modal\InstallToPlayModal.vue
